PCE,VOC,JSC,FF
7.0,774.0,12.9,0.7
7.4,691.0,15.2,0.7
6.0,720.0,12.07,0.685
5.4,694.0,10.84,0.724
6.0,726.0,11.56,0.719
4.3,645.0,9.19,0.725
6.4,645.0,14.71,0.673
5.93,697.0,12.52,0.68
3.91,628.0,10.32,0.6022
4.9,681.0,11.96,0.6015
4.87,758.0,9.01,0.71
5.7,726.0,11.73,0.67
4.21,740.0,9.69,0.59
2.77,600.0,7.23,0.64
4.64,640.0,11.47,0.63
7.13,730.0,15.14,0.65
5.73,700.0,12.43,0.65
4.09,610.0,10.37,0.65
3.66,610.0,8.94,0.68
5.21,650.0,12.27,0.66
8.42,760.0,16.67,0.66
6.66,710.0,14.22,0.66
4.51,620.0,10.75,0.67
2.62,630.0,6.09,0.68
3.69,670.0,7.75,0.71
4.96,770.0,9.56,0.67
3.93,730.0,7.88,0.68
2.86,630.0,6.81,0.67
2.23,530.0,6.72,0.64
5.09,690.0,10.11,0.7223
4.86,660.0,10.75,0.675
3.0,390.0,14.4,0.54
3.57,631.0,9.03,0.6279
3.66,606.4,9.09,0.66
3.6,604.4,9.26,0.64
3.31,646.1,7.47,0.69
3.24,630.2,7.53,0.68
1.63,519.1,5.46,0.58
4.31,598.4,11.3,0.64
5.17,622.3,13.08,0.64
5.16,618.3,13.04,0.64
2.49,550.8,7.38,0.61
2.17,542.9,6.54,0.61
2.13,522.8,6.4,0.6
4.8,663.5,9.88,0.7322
5.26,653.0,11.72,0.6876
4.91,628.3,11.11,0.7038
4.87,639.9,11.35,0.6709
6.4,685.0,13.4,0.7
5.6,638.0,12.2,0.72
4.86,650.0,11.75,0.64
6.37,690.0,13.86,0.67
3.55,652.0,8.65,0.63
0.92,540.0,2.64,0.64
2.71,571.0,6.86,0.692
5.44,660.0,12.2,0.68
6.8,690.0,14.29,0.69
3.94,570.0,10.29,0.67
5.31,680.0,12.5,0.62
7.04,700.0,14.33,0.71
7.05,700.0,14.53,0.7
5.43,730.0,10.93,0.68
7.47,730.0,15.08,0.68
6.23,670.0,14.06,0.66
6.49,820.0,11.63,0.68
7.88,830.0,13.56,0.7
8.06,850.0,13.81,0.69
8.36,850.0,13.9,0.71
7.33,830.0,12.69,0.69
4.01,690.0,9.64,0.6
3.76,610.0,10.37,0.59
3.57,700.0,7.76,0.65
6.3,730.0,11.1,0.78
5.6,720.0,10.4,0.745
5.6,710.0,11.4,0.702
5.2,760.0,9.8,0.7
4.6,720.0,9.0,0.703
5.1,760.0,8.8,0.761
4.3,700.0,8.7,0.704
3.9,680.0,9.1,0.625
3.46,628.0,8.09,0.68
5.53,669.0,13.35,0.62
3.49,620.0,8.28,0.68
1.3,580.0,3.2,0.69
3.31,658.0,7.59,0.63
3.1,664.0,7.07,0.66
3.58,660.0,9.06,0.63
4.38,648.0,10.03,0.66
7.54,726.0,17.76,0.58
0.9,548.0,2.37,0.695
0.69,497.0,2.04,0.68
4.55,704.0,9.62,0.671
2.72,656.0,6.45,0.643
6.68,740.0,13.29,0.68
7.78,740.0,15.22,0.69
6.21,700.0,13.1,0.68
6.33,730.0,12.69,0.68
5.88,740.0,11.46,0.69
5.86,670.0,12.87,0.68
5.67,700.0,11.92,0.68
5.51,730.0,10.98,0.68
6.02,617.0,16.27,0.6
6.12,720.0,12.85,0.68
3.04,519.0,10.85,0.54
3.12,640.0,7.5,0.65
5.6,705.0,12.6,0.63
6.42,736.0,13.38,0.65
4.01,599.0,10.47,0.64
3.31,679.0,7.01,0.7
7.94,739.0,15.69,0.69
1.23,487.0,3.6,0.7
