VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
580.0,16.9,0.74,7.3,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI and 0.1 M TBP","TiO2 film (7 um,+5 um scattering layer )",0.25,-,-,-,0,0
610.0,14.6,0.7,6.2,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
620.0,14.1,0.74,6.5,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
640.0,12.5,0.73,5.9,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
660.0,11.2,0.74,5.5,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
680.0,10.3,0.75,5.3,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
570.0,16.0,0.66,6.0,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
580.0,15.7,0.7,6.4,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
620.0,15.5,0.7,6.7,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
630.0,13.6,0.7,6.0,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
650.0,13.4,0.7,6.1,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and guanidinium thiocynate in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
610.0,13.3,0.68,5.5,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP",TiO2 film (18 um transparent layer+ 7 um scattering layer ),0.2354,-,-,-,0,0
