Formula,A_ion,B_ion,X_ion,Bandgap,ETL,HTL,Backcontact,Antisolvent,Solvent,Solv_annel,Anneal_temp,Dep_procedure,Synth_atm,Cell_area,Is_module,Voc,Jsc,FF,PCE,entry_id
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,none,Carbon,Unknown,DMF >> IPA,False,Unknown >> 100.0,Spin-coating >> Spin-coating,Unknown,0.152,False,0.8,16.4,0.45,7.7,-3_TKBIqU31x67M0xYnSX-TyifrA
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Au,Chlorobenzene,DMF,True,100.0,Spin-coating,N2,0.0813,False,1.05,19.3,0.66,13.28,-3_vhlPHDIHbt8wwopiIEUY7uo12
MAPbI3,MA,Pb,I,1.6,PCBM-60 | TiO2,PEDOT:PSS,Al,Unknown,DMF,False,90.0,Spin-coating,Unknown,0.16,False,0.8540000000000001,19.2,0.436,7.2,-3gSpkn8nyAHHEDfGtmGBI0NfMAT
FASnI3,FA,Sn,I,,C60 | BCP,PEDOT:PSS,Ag,Chlorobenzene,DMSO,False,60; 100,Spin-coating,N2,0.09,False,0.632,20.37,0.693,8.62,-3jEr11Mqu3sbb-n9-Bt2ycV3S1U
Cs0.05FA0.79MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,,SnO2-np,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,135,Spin-coating,N2,,False,1.14,22.56,0.75,19.25,-3n0FUBOUS8tY54ZFdl5osAvP70Z
MAPbI3,MA,Pb,I,1.6,PCBM-60 | BCP,PEDOT:PSS,Ag,Unknown,Unknown >> none >> none,False,Unknown >> 100.0,Spin-coating >> Evaporation >> Spray-coating,Unknown >> Vacuum >> Air,4.0,False,0.885,15.11,0.6809999999999999,9.11,-3sEJVgc_uDlPbw8iViXCLy7kARP
MAPbI3,MA,Pb,I,1.6,TiO2-c | SnO2-np,Spiro-MeOTAD,Au,Ethyl acetate,DMF; DMSO,False,60; 100,Spin-coating,Ambient,0.09,False,1.04,20.32,0.7140000000000001,14.57,-3yvLC22SfF26QvSW6AoUOiZvIl2
Cs0.05FA0.79MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Dry air,0.16,False,0.023,1.113,0.764,19.5,-495RhfW4sybP1vt5X4LqdcHLXTB
MAPbI3,MA,Pb,I,1.6,PCBM-60 | BCP,BDT-POZ,Ag,Toluene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.07,False,1.04,22.56,0.8170000000000001,19.19,-4ETdWoopgtP-gC7Glvv7BgdPB-c
Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.16,False,1.1,23.28,0.74,18.87,-4FXTC5S4AHNS_-3HU1VKkGxfLKF
MAPbI3,MA,Pb,I,1.61,PCBM-60 | bis-C60,PEDOT:PSS,Ag,Toluene,DMSO; GBL,False,100.0,Spin-coating,N2,0.1,False,0.92,19.6,0.78,14.07,-4kZs-XQfI9yZ_8Ic6xdaZs-zeaA
MAPbI3,MA,Pb,I,1.6,TiO2; WOx,Spiro-MeOTAD,Ag,Unknown,DMF,False,Unknown,Spin-coating,N2,0.09,False,0.85,22.87,0.65,12.73,-4v_qAoo51EQQUzGneMA6czdVed-
MAPbI3,MA,Pb,I,1.5,C60 | BCP,NiO-np,Ag,Chlorobenzene,DMF; DMSO,False,Unknown,Spin-coating,Unknown,0.08,False,1.072,21.18,0.71,15.71,-51EqaQJIRFh2DwKz8GEzaRuQ3iH
MAPbI3,MA,Pb,I,1.6,PCBM-60 | C60 | BCP,P3CT-N,Cu,Chlorobenzene,DMF; DMSO,False,60; 80; 140,Spin-coating,N2,0.1,False,1.1,22.1,0.8,19.52,-52p6pQ-RIOW5d6zsIMjFCt0CWjE
MAPbI3,MA,Pb,I,1.6,TiO2-c,PTAA,MoO3 | Ag,Diethyl ether,DMSO; GBL,False,100.0,Spin-coating,N2,0.05,False,,,,,-5A4GJToRpb_jIaL7uxXNMVokYza
Cs0.2FA0.8PbI3,Cs; FA,Pb,I,,TiO2-c,Florinated polymer | Spiro-MeOTAD,Ag,Unknown,Cyclohexyl-2-pyrrolidone; DMF,False,170.0,Spin-coating,N2,0.1,False,0.91,24.5,0.62,13.9,-5Y-cWrBimLvwD8LFCturjR2W_Kw
Cs0.05FA0.79MA0.16PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,1.558,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,N2,0.115,False,1.037,21.46,0.726,16.17,-5fSNlNqSTpmJsbkEquH4Un76tol
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Ag,Ethyl ether; Hexane,DMF; DMSO,False,100,Spin-coating,Air,0.07,False,1.065,21.83,0.691,16.06,-5riEtpGlvnQDXdtyMNYLbEydK5j
MAPbI3,MA,Pb,I,1.5,PCBM-60 | BCP,PEDOT:PSS,Ag,Unknown,DMF; DMSO,False,90.0,Doctor blading,Air,0.1,False,0.894,18.93,0.675,11.42,-5sO2dbkbtuhyGagXl2hNaXvO753
Cs0.05FA0.79MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Trifluorotoluene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.15,False,0.804,27.31,0.748,25.26,-62Tnuo-R5CXisLqbJz4Onxst3oS
MAPbI3,MA,Pb,I,1.6,SrTiO3 | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF,False,130.0,Spin-coating,Unknown,0.16,False,0.952,20.534,0.631,12.33,-6B7F7Xi7xaPzCjPHcsOn1T_SPN6
MAPbI3,MA,Pb,I,1.51,TiO2-c | TiO2-mp,Spiro-MeOTAD,Ag,Toluene,DMSO; GBL,False,100.0,Spin-coating,N2,0.09,False,0.997,19.02,0.736,13.97,-6KS2IIq6LKM0oGyivd5KflEQnEy
MAPb0.9Sb0.1I3,MA,Pb; Sb,I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Ag,Unknown,Unknown,False,Unknown,Spin-coating,Unknown,0.07,False,0.937,17.37,0.557,9.48,-6WALMjHEJMcD2HBd9i6UZzxynVm
